NAME COMPANY
CONCEPT HARVEY ROURKE INC. 
9355-1364 QUEBEC INC. 
IMMOPAMM INC. 
9168-4514 QUEBEC INC. 
EDIFICA GESTION IMMOBILIERE INC. 
COOP. D'HABITAT. DU POSSIBLE 
9524-1964 QUEBEC INC. 
9133-3203 QUEBEC INC. 
9357-3012 QUEBEC INC. 
9321-3775 QUEBEC INC. 
9411-1523 QUEBEC INC. 
TERRA-NOVA SOCIETE IMMOBILIERE INC. 
9309-5529 QUEBEC INC. 
IMMOBILIER DOOB-GILLESPIE INC. 
GESTION PODIART INC. 
9419-5054 QUEBEC INC. 
9435-4263 QUEBEC INC. 
9415-8052 QUEBEC INC. 
9425-9231 QUEBEC INC. 
9397-2032 QUEBEC INC. 
9154-2225 QUEBEC INC. 
IMMEUBLE HOMANS INC. 
LE PARALLELE DE L'HABITATION SOCIALE INC. 
170 ALEXANDRE INC. 
ENTREPOT RJL INC. 
171 RUE DU CEGEP INC. 
9435-0907 QUEBEC INC. 
SMART-CEB SERVICE CONSEIL INC. 
GILLES SAINTON MEDECIN INC. 
9377-0964 QUEBEC INC. 
GROUPE PACIFIK INC. 
9403-7355 QUEBEC INC. 
9349-6529 QUEBEC INC. 
LES IMMEUBLES WG INC. 
9459-6731 QUEBEC INC. 
9223-8161 QUEBEC INC. 
9333-5628 QUEBEC INC. 
INVESTISSEMENTS LPNB INC. 
REVALORISATION CENTRO INC. 
IMMEUBLES D.N.R. SENC 
IMMEUBLES JDZ INC. 
GESTION LOF S.E.N.C. 
GESTION-LPSA S.E.N.C. 
GESTION O4M INC. 
MS FINANCE INC. 
9498-4507 QUEBEC INC. 
KP CAPITAL IMMOBILIER III S.E.C. 
197 RUE GILLESPIE INC. 
DEVIMCOM PLATEAU BELVEDERE INC. 
GIRARD VILLENEUVE & ASSOCIES INC. 
IMMOBILIERE SHQ 
IMMEUBLES LMQ INC. 
IMMEUBLE BERARD-LAGANIERE 1 INC. 
SIMARD & ASS. EXPERTS CONS. EVALUATION INC. 
9165-7262 QUEBEC INC. 
9423-1750 QUEBEC INC. 
9478-4261 QUEBEC INC. 
GRIFFE HABITATION INC. 
9164-7735 QUEBEC INC. 
COOP. DU VIEUX MOULIN DE BROMPTON 
222 LAURIER INC. 
9460-1192 QUEBEC INC. 
KP CAPITAL IMMOBILIER II S.E.C. 
CA CLIQUE (1984) LTEE 
IMMEUBLES FORTISSIMMO INC. 
9495-5028 QUEBEC INC. 
230 RUE ALEXANDRE INC. 
231 RUE ALEXANDRE INC. 
9457-2096 QUEBEC INC. 
PROJETEC IMMOBILIER SENC 
KAIRA INC. 
LS INVESTISSEMENTS INC. 
GESTION M. LABEL INC. 
9209-7328 QUEBEC INC. 
9222-2330 QUEBEC INC. 
IMMOCARRE INC. 
245 RUE MCMANAMY INC. 
249 LAURIER INC. 
KP CAPITAL IMMOBILIER VI S.E.C. 
9270-1788 QUEBEC INC. 
9229-9593 QUEBEC INC. 
SOLUTIONS IMMEUBLES INC. 
IMMEUBLES LJ SOLUTIONS INC. 
SOCIETE FULLOCINQ S.E.N.C. 
IMMEUBLES CCTG POTTER LTEE 
GESTION GIBLAGE INC. 
9515-2815 QUEBEC INC. 
IMMEUBLES LZ INC. 
COOP. D'HABITAT. LA ROUCOULE DE SHERBR. 
BMP CONSORTIUM INC. 
IMMEUBLES MARYMOUNT INC. 
GERARD DESSERT LTEE 
9254-1556 QUEBEC INC. 
KCINA 1 INC. 
9385-3778 QUEBEC INC. 
GESTION IMMOBILIERE INVERSO INC. 
112 RUE GILLESPIE INC. 
9380-7717 QUEBEC INC. 
CDI HABITATION INC. 
AUBERGE ANOKHI INC. 
GESTION  28 BOWEN INC. 
SOCIETE IMMOBILIERE FIERBROOKE INC. 
CDI LOGEMENTS INC. 
12664887 CANADA INC. 
9348-5522 QUEBEC INC. 
9455-7147 QUEBEC INC. 
GESTION MYRIN INC. 
TETRA IMMOBILIER INC. 
PLACEMENTS MONDIAL 2005 INC. 
GROUPE FRANCOIS POIRIER INC 
LES IMMEUBLES MESY 
GESTION GRAND INTERNATIONAL INC. 
ENTREPRISES S. DUCHESNE INC. 
MISSION REHOBOTH INTER/SOURCE DE VIE 
7710895 CANADA CORP. 
GESTION MAHEU VACHON INC. 
9407-8714 QUEBEC INC. 
9423-7799 QUEBEC INC. 
IMMO24 INC. 
GROUPE I2LP INC. 
COOP. D'HABITATION DE BROMP. 
IMMEUBLES KESAR INC. 
LES IMMEUBLES JLOD INC. 
9271-6067 QUEBEC INC. 
9409-2863 QUEBEC INC. 
LESSARD PELLERIN IMMOBILIER INC. 
JCFS IMMOBILIER INC. 
GESTION GLOBALE BOURQUE INC. 
9456-5314 QUEBEC INC. 
GESTION 38 CROISSANT DOWNS INC. 
COOP. D'HABITAT. (LA RELANCE) 
LA CORDEE TRANSIT DE JOUR INC 
9496-1166 QUEBEC INC. 
40 RUE BROOKS INC. 
9421-9706 QUEBEC INC. 
GROUPE KG IMMOBILIER INC. 
9466-0933 QUEBEC INC. 
12687330 CANADA INC. 
ESTRIMMOBILIER INC. 
405 RUE LEONIDAS INC. 
9491-8000 QUEBEC INC. 
9153-2614 QUEBEC INC. 
420 RUE GALT OUEST INC. 
IMMEUBLES ZXM INC. 
9377-0360 QUEBEC INC. 
FERME PLEIN VENT S.E.N.C. 
GROUPE ROYVAIS INC. 
9518-3497 QUEBEC INC. 
9414-0415 QUEBEC INC. 
GESTION IMMOBILIERE BJP INC. 
2995891 CANADA INC. 
ALFRED DEMERS INC. 
LPS ARCHITECTURE&GESTION INC. 
COOP. HAB. LE RADOUB SHERBR. 
9045-3580 QUEBEC INC. 
GESTION CG S.E.N.C. 
9188-7380 QUEBEC INC. 
9168-0652 QUEBEC INC. 
IMMO STYLE INC. 
IMMEUBLES PKMG INC. 
9479-2991 QUEBEC INC. 
GESTION SJNP INC. 
GESTION R. LABONTE INC. 
9092-4432 QUEBEC INC. 
VILLE DE SHERBROOKE 
3091-5524 QUEBEC INC. 
GESTION MALI-MICHEL INC. 
9072-6522 QUEBEC INC. 
IMMO SUPREME INC. 
PLACEMENTS G.I.G. INC. 
LES IMMEUBLES G. DION INC. 
9226-3839 QUEBEC INC. 
GROUPE TOMARA INC. 
12355981 CANADA INC. 
9369-4842 QUEBEC INC. 
LES IMMEUBLES GASPE INC. 
GESTION BDM 
9230-4971 QUEBEC INC. 
IMMOBILIER FORMIDABLEPLEX INC. 
9134-9662 QUEBEC INC. 
56 RUE CAMIRAND INC. 
9450-5906 QUEBEC INC. 
9361-9450 QUEBEC INC. (QUARTIER CONC.) 
COOPERATIVE D'HABITATION MELBOURNE 
9167-2584 QUEBEC INC. 
GESTION CAPITAL BERGERON GAGNE INC. 
FIDUCIE FAM ISABELLE DUPONT (2019) 
9336-4230 QUEBEC INC. 
SOCIETE IMMOBILIERE AMCHIDE INC. 
9465-7087 QUEBEC INC. 
DENALI CAPITAL INC. 
9415-5769 QUEBEC INC. 
FIDUCIE GESTAGNON 2015 
IMMEUBLES JUTRAS SCHWEIZER INC. 
PRODUCTION ANDREE MENARD INC. 
9497-2270 QUEBEC INC. 
9381-3103 QUEBEC INC 
9515-4670 QUEBEC INC. 
9489-3039 QUEBEC INC. 
9423-7633 QUEBEC INC. 
9251-3654 QUEBEC INC. 
GESTION IMMOBILIERE FXD INC. 
9436-6804 QUEBEC INC. 
9423-7682 QUEBEC INC. 
QUANTUM IMMOBILIER INC. 
SOCIETE GROUPE VILLEMAIRE 
LES IMMEUBLES CEDRUS INC. 
GESTION PN TOUSSAINT INC. 
GESTION ZANDANT LTEE 
COLLECTIF FIERBROOKE INC. 
IMMOBILIER SYLVERPEAK INC. / SYLVERPEAK REALITY INC. 
9432-5156 QUEBEC INC. 
833 RUE ST-LOUIS INC. 
JAVDAN IMMOBILIER INC. 
INVESTA SOCIETE IMMOBILIERE INC. 
2414-7324 QUEBEC INC. 
9512-4665 QUEBEC INC. 
IMMOBILIER SVL INC. 
IMMOBE-LIES S.E.N.C. 
9486-2984 QUEBEC INC. 
9389-3436 QUEBEC INC. 
9500-2929 QUEBEC INC. 
FBELLA INC. 
DAVID DUNCAN HOLDINGS LTD 
THERIAULT IMMOBILIER INC. 
GESTION TMS INC. 
IMMEUBLES DTMC INC. 
LES IMMEUBLES TL INC. 
ADMINISTRATION DRAKUL INC. 
LES IMMEUBLES MARIE-SOPHIE INC. 
ROBSTAN ENTREPRISES LTD. 
IMMOMED INC. 
INVESTISSEMENTS LECLERC INC. 
GESTION IMMOBILIERE GBG INC. 
9380-5836 QUEBEC INC. 

