proprietaire_nom,proprietaire_adresse
FABI INVESTISSEMENT INC. ,"222 RUE FABI, SHERBROOKE (QC), J1E2B5"
GRIFFE HABITATION INC. ,"54 CH PHANEUF, ORFORD (QC), J1X 6M5, A/S FRANCIS PAQUETTE"
LS INVESTISSEMENTS INC. ,"6 CH DU VIEUX-MOULIN, NOTRE-DAME-DE-L'ÎLE-PERROT (QC), J7W 3L9"
GESTION GEREMIE MORIN INC. ,"7067 RUE DE LA ROCHE, MONTREAL (QC), H2S 2E6"
BEAUCHENE DIVISION IMMOBILIERE INC. ,"410-455 RUE KING O, SHERBROOKE (QC), J1H6E9"
MON SHACK MES CHOIX MON AVENIR! ,"3195 RUE COLLEGE, SHERBROOKE (QC), J1M0E7"
9421-9706 QUEBEC INC. ,"1662 BOULEVARD DU MI-VALLON, SHERBROOKE (QC), J1N4G8, A/S NATHANIELE MARCHAND"
9391-0099 QUEBEC INC. ,"3637 RUE ONTARIO E, MONTREAL (QC), H1W 1R8, A/S PAUL CHATIGNY"
9336-1798 QUEBEC INC. ,"3430 RUE DU RENARD, SHERBROOKE (QC), J1H0C7"
9446-3221 QUEBEC INC. ,"6415 10E AV, MONTREAL (QC), H1Y 2H7, A/S MICHAEL MICMACHER"
SMA INC. ,"1236 RUE GALT E, SHERBROOKE (QC), J1G1Y5, A/S GHISLAIN HOULE"
9392-4264 QUEBEC INC. ,"4701 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N2G6, A/S ANDRE DUCLOS"
GESTION DE PLACEMENT GAGNE INC. ,"215 RUE DE L' ASSOMPTION, SHERBROOKE (QC), J1E2L5, A/S OLIVIER GAGNE"
BOSA SOC IMMOBILIERE INC. ,"282A CH DE LA RIVIERE, ST-FRANCOIS-XAVIER-DE-BROMPTON (QC), J0B 2V0"
LES IMMEUBLES TL INC. ,"54  CHEMIN DU BOISE, LAC-BEAUPORT (QC), G3B 2A7"
9153-2614 QUEBEC INC. ,"1338 RUE KING O, SHERBROOKE (QC), J1J2B6, A/S FRANCIS DUTIL"
GROUPE GF IMMOBILIER INC. ,"590 LAKESHORE RD, BEACONSFIELD (QC), H9W 4K4"
9468-8173 QUEBEC INC. ,"104-701 CHEMIN LOUIS-CAYER, SHERBROOKE (QC), J1R0H7"
9230-4971 QUEBEC INC. ,"8715 CH DU LAC, HATLEY (QC), J0B 4B0, A/S ROBIN FORTIER"
9188-7380 QUEBEC INC. ,"1745 RUE SHERBROOKE BUR 208, MAGOG (QC), J1X 2T5, A/S JEAN-GUY VEILLEUX"
DEVIMCOM PLATEAU BELVEDERE INC. ,"1567 RUE KING O, SHERBROOKE (QC), J1J2C6"
AU PIED DES TOURS INC. ,"678 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
9182-3740 QUEBEC INC. ,"9275 RUE DU PRADO, SAINT-LEONARD (QC), H1P 3E3, A/S THIERRY JOUBERT-BERTHOLD"
10075744 CANADA INC. ,"576 CH LABONTE, COOKSHIRE-EATON (QC), J0B 1M0, A/S HUGO CLEARY"
10075736 CANADA INC. ,"576 CH LABONTE, COOKSHIRE-EATON (QC), J0B 1M0"
GESTION DAVID DUNCAN LTEE ,"20 RUE CONNOLLY, SHERBROOKE (QC), J1M1L9, A/S STEPHEN MCLEAN"
IMMOBILIERE SHQ ,"1054 L-A-TASCHEREAU 4E ET ST-AMABLE, ED MARIE-GUYART QUEBEC (QC), G1R 5E7"
9465-8226 QUEBEC INC. ,"1733 RUE RACHEL-LUSSIER, SHERBROOKE (QC), J1N1E2, A/S JEAN-FRANCOIS FONTAINE"
9204-5822 QUEBEC INC. ,"1650 BOUL LEMIRE, DRUMMONDVILLE (QC), J2C 5A4, A/S ERIC FRECHETTE"
9464-8268 QUEBEC INC. ,"223 RUE MURRAY, SHERBROOKE (QC), J1G2K2, A/S SANAA FAKIRI"
PLACEMENT IMMOBILIER M.R.S. ,"1835 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1J4N8"
9342-4224 QUEBEC INC. ,"302-895 CHEMIN DUPLESSIS, SHERBROOKE (QC), J1E4J7, A/S RENE BEGIN"
9483-0486 QUEBEC INC. ,"7067 RUE DE LA ROCHE, MONTREAL (QC), H2S 2E6"
9245-2580 QUEBEC INC ,"1840 RUE DE VALENCAY, SHERBROOKE (QC), J1G5E7, A/S KARINE NADEAU"
9255-3320 QUEBEC INC. ,"4333 DESSTE DES LAURENTIDES (A-15) E, LAVAL (QC), H7L 5W5"
3104-2773 QUEBEC INC. ,"370 10E AVENUE S, SHERBROOKE (QC), J1G2R7, A/S MARIO OUELLETTE"
EDIFICE RAINVILLE INC. ,"6-221 RUE DUFFERIN, SHERBROOKE (QC), J1H4M3, A/S ROSAIRE RAINVILLE"
HABITATIONS L'EQUERRE INC. ,"14 RUE JEAN-MAURICE, SHERBROOKE (QC), J1G1V5"
GESTION IMMOBILIERE BJP INC. ,"44 RUE WILLIAM-IVES, SHERBROOKE (QC), J1E2C2"
LES IMMEUBLES APOJE INC. ,"1515 RUE SYLVA-DUPLESSIS, SHERBROOKE (QC), J1E0L5"
IMMEUBLES JDZ INC. ,"4257 AV WILSON, MONTREAL (QC), H4A 2V1"
9267-9950 QUEBEC INC. ,"300-2950 RUE LUCIEN-L'ALLIER, LAVAL (QC), H7P 0H8"
9222-2330 QUEBEC INC. ,"2405 CH LEMIRE LOT 195, SHERBROOKE (QC), J1H 0C5"
IMMO MACHINE INC. ,"21 RUE SAINT-JUDE S, GRANBY (QC), J2J 2M9"
9253-1946 QUEBEC INC. ,"1544 CH FAVREAU, COATICOOK (QC), J1A 2S4, A/S ALAIN GAGNE"
GESTION DURANLEAU LTEE ,"56 CH MAHEU, COOKSHIRE-EATON (QC), J0B 2A0"
9484-4198 QUEBEC INC. ,"805 RUE FORTIER S, SHERBROOKE (QC), J1N2C5"
FIDUCIE GESTAGNON 2015 ,"35 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1H3P4"
9425-4406 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2, A/S JEREMY LACROIX"
9352-9188 QUEBEC INC. ,"7235 CHEMIN DE SAINT-ELIE, SHERBROOKE (QC), J1R0K5, A/S LINDA DOMON"
GESTION PATRICE PHANEUF INC. ,"22 RUE LAURIER, MAGOG (QC), J1X 2K3, A/S PATRICE PHANEUF"
LOUAGE GUYVON INC. ,"2550 RUE KING O, SHERBROOKE (QC), J1J2H1, A/S CLAUDE MARTINEAU"
9346-9930 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
9258-9795 QUEBEC INC. ,"2830 RUE MERICI, SHERBROOKE (QC), J1L2R1"
GESTION MELISSA COTE INC. ,"112 CH MORIN, ORFORD (QC), J1X 6N6"
9213-8213 QUEBEC INC. ,"900-2336 CHEMIN DE SAINTE-CATHERINE, SHERBROOKE (QC), J1N2X3, IMMO UNIVERSEL"
IMMEUBLES DES DESROSIERS SENC ,"886 CH LEON-GERIN RR 8, SAINTE-EDWIDGE (QC), J0B 2R0, A/S YVON DESROSIERS"
GESTION IMMOBILIERE DOMEL ,"120 CH INGALLS, SAINTE-CATHERINE-DE-HATLEY (QC), J0B 1W0, A/S MELANIE DESROSIERS"
HABITATIONS DMROY INC. ,"82 RUE ELIZABETH, SOREL-TRACY (QC), J3P 4G5"
HABITATIONS PEGI INC. ,"376 RUE FOURNIER, GRANBY (QC), J2J 0V2"
9372-7311 QUEBEC INC. ,"4895 BOULEVARD INDUSTRIEL, SHERBROOKE (QC), J1R0P4, A/S CHRISTIAN BELLEAU"
LES IMMEUBLES JLOD INC. ,"108-1615 RUE EVANGELINE, SHERBROOKE (QC), J1H6C8, A/S OLIVIER DROUIN-GAGNÉ"
HABITATIONS ESSOR INC. ,"7160 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N3L9"
9377-5807 QUEBEC INC. ,"CP 6306 SUCCURSALE ROCK FOREST, SHERBROOKE (QC), J1M 3C9"
9418-8554 QUEBEC INC. ,"655 CHEMIN GODIN, SHERBROOKE (QC), J1R0S6"
IMMOBILIER DOMICILIUM INC. ,"104-4710 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N2A8"
9380-1017 QUEBEC INC. ,"765 RUE DU CONSEIL, SHERBROOKE (QC), J1G1L1"
BALCA IMMOBLIER INC. ,"3354 CH SAINT-PHILIPPE, MASCOUCHE (QC), J7K 3C3, A/S ALEXANDRE BOISVERT"
BGM CAPITAL INC. ,"104-4710 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N2A8"
LES IMMEUBLES G. DION INC. ,"800 RUE PRINCIPALE, GRANBY (QC), J2G 2Y8"
9158-6313 QUEBEC INC. ,"71 RUE DU BELVEDERE, BOIS-DES-FILION (QC), J6Z 0A1, A/S ROSEMARIE DROLET"
9226-3839 QUEBEC INC. ,"353 RUE DES AULNES, SHERBROOKE (QC), J1G4S1, A/S STEPHANE TREMBLAY"
LES IMMEUBLES JPM LAPOINTE SENC. ,"21 RUE DU VAL-DES-ARBRES, SHERBROOKE (QC), J1R0B1, A/S JEAN-PHILIPPE LAPOINTE"
INVESTISSEMENTS LAPOINTE INC. ,"62 RUE CLEMENT, SHERBROOKE (QC), J1R0A9"
GESTION FIKA INC. ,"3420 RUE GALT O, SHERBROOKE (QC), J1H0A5"
LES IMMEUBLES GASPE INC. ,"4687 RUE DE CABANO, SHERBROOKE (QC), J1N2B9, A/S NATHALIE GOUDREAULT"
GESTION BDM ,"745 RUE LOUIS-RIEL, SHERBROOKE (QC), J1L2M8, A/S STEPHANE DUROCHER"
9369-4842 QUEBEC INC. ,"47 RUE LAURIER, MAGOG (QC), J1X 2K2"
VILLE DE SHERBROOKE ,"CP 610 SUCC PL DE LA CITE, SHERBROOKE (QC), J1H 5H9"
9445-5656 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
9473-3748 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
9468-3554 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
LAPOINTE IMMOBILIER INC. ,"181 RUE LAMPRON, MAGOG (QC), J1X 5R7"
9444-1219 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
9416-5222 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
GESTION BBLL INC. ,"924 RUE LEONARDO-DA VINCI, SHERBROOKE (QC), J1R0S9"
IMMEUBLES PKMG INC. ,"CP 404 SUCC MAGOG, MAGOG (QC), J1X 3X7"
IMMO STYLE INC. ,"514 RUE ROUSSEAU, COATICOOK (QC), J1A 3J2"
GANMAT INC. ,"372 RUE GERARD-GOULET, GRANBY (QC), J2H 1H3"
LES ENTREPRISES LACHANCE INC. ,"663 RUE DE CHARLEMAGNE, SHERBROOKE (QC), J1N0S9, A/S PATRICK  LACHANCE"
134 GRENOBLE INC. ,"C.P.  26 SUCC. BUREAU-CHEF, GRANBY (QC), J2G 8E2"
5578 RENE-LEVESQUE INC. ,"CP 26 SUCC GRANBY, GRANBY (QC), J2G 8E2"
9128-5700 QUEBEC INC. ,"135 RUE HOCQUART, SHERBROOKE (QC), J1G3B7, A/S YANICK GADBOIS"
TERRA-NOVA SOCIETE IMMOBILIERE INC. ,"2121 RUE MEGANTIC, SHERBROOKE (QC), J1L0A4"
GESTION IMMOBILIERE FXD INC. ,"198 RUE DES CORMORANS, SHERBROOKE (QC), J1R0S4"
9335-9347 QUEBEC INC. ,"10 BOUL SAINT-ELZEAR E, LAVAL (QC), H7M 1C2"
9465-8267 QUEBEC INC. ,"112 RUE SAINT-CHARLES-BORROMEE S, JOLIETTE (QC), J6E 4S9, A/S DAVID ROY"
9364-1694 QUEBEC INC. ,"8201 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
9489-1918 QUEBEC INC. ,"4718 RUE GEORGE-V, SHERBROOKE (QC), J1N3Y4"
9489-1900 QUEBEC INC. ,"4718 RUE GEORGE-V, SHERBROOKE (QC), J1N3Y4"
CHARTWELL MASTER CARE LP ,"7070 DERRYCREST DR, MISSISSAUGA (ON), L5W 0G5"
9523-4167 QUEBEC INC. ,"181  RUE LAMPRON, MAGOG (QC), J1X 5R7, A/S MATHIEU LAPOINTE"
3091-5524 QUEBEC INC. ,"30 RUE POPE, COOKSHIRE-EATON (QC), J0B 1M0, A/S RICHARD BEAUDRY"
9092-4432 QUEBEC INC. ,"204-1745 RUE SHERBROOKE, MAGOG (QC), J1X 2T5, A/S JEAN-GUY VEILLEUX"
9072-6522 QUEBEC INC. ,"12 RUE DE LA POMMERAIE RR 141, STOKE (QC), J0B 3G0, A/S GESNER BLENKHORN"
9500-2929 QUEBEC INC. ,"4427 RUE DU MONT-BLANC, ASCOT CORNER (QC), J0B 1A0"
GESTION BEDS INC. ,"7115 RUE SALABERRY, LAC-MEGANTIC (QC), G6B 1K4"
9126-9951 QUEBEC INC. ,"2525 CHEMIN LALIBERTE, SHERBROOKE (QC), J1R0C5, A/S SYLVIE TREMBLAY"
9168-0652 QUEBEC INC. ,"2550 RUE KING O, SHERBROOKE (QC), J1J2H1, A/S PASCAL MARTINEAU"
LE 4801 DES PARTISANS INC. ,"101-1320 RUE GAY-LUSSAC, BOUCHERVILLE (QC), J4B 7G4"
GESTION 1397 MAGELLAN INC. ,"678 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
LES IMMEUBLES JPM LAPOINTE SENC ,"21 RUE DU VAL-DES-ARBRES, SHERBROOKE (QC), J1R0B1"
9432-8242 QUEBEC INC. ,"3536 RUE KING E, SHERBROOKE (QC), J1G5J3, A/S JESSY MELANCON"
CDI HABITATION INC. ,"809 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R9"
FIDUCIE TESTAMENTAIRE CHANTAL GAGNON ,"300 CH GALIPEAU, ASCOT CORNER (QC), J0B 1A0, A/S CHANTAL GAGNON"
IMMOBILIER BRIMKO INC. ,"494 RUE LEGER, SHERBROOKE (QC), J1L1Y5"
9209-6650 QUEBEC INC. ,"6952 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N1H2, A/S JIMMY PREFONTAINE"
9205-6050 QUEBEC INC. ,"3510 RUE LA VERENDRYE, SHERBROOKE (QC), J1L1Z6, A/S JACQUES VALLEE"
9508-9819 QUEBEC INC. ,"530 RUE JEAN-PAUL-PERRAULT, SHERBROOKE (QC), J1L3A6"
LES IMMEUBLES ASCENSIO INC. ,"104-268 CHEMIN GODIN, SHERBROOKE (QC), J1R0S6, A/S FRANCIS LAFLEUR"
GESTION IMMOBILIERE R.P.L.H. 2014 INC. ,"8510 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2, A/S ROBERT POTHIER"
9281-0969 QUEBEC INC. ,"757  RUE DES CHARDONNERETS, MONT-SAINT-HILAIRE (QC), J3H 0E3"
9399-5694 QUEBEC INC. ,"535 RUE PEPIN, SHERBROOKE (QC), J1L1X3, A/S DAVID TANGUAY"
GESTION EXPEL INC. ,"663 RUE DE CHARLEMAGNE, SHERBROOKE (QC), J1N0S9, A/S PATRICK LACHANCE"
9174-0860 QUEBEC INC. ,"4870 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N3S5, A/S CHRISTIAN BOURQUE"
GESTION C.A.V.A. INC. ,"1133 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1J4N5, A/S VINCENT MATTHON"
VISION HABITATION PLUS INC. ,"5951 RUE RODRIGUE, SHERBROOKE (QC), J1N3B2"
9377-0360 QUEBEC INC. ,"1-1785 RUE WHITE, SHERBROOKE (QC), J1J1Z6, A/S FREDERICO DELLI COLLI"
LES IMMEUBLES OSWALD JOSEPH INC. ,"151 RUE WILSON, SHERBROOKE (QC), J1L1H5"
9304-5300 QUEBEC INC. ,"2653 RUE DES CHENES, SHERBROOKE (QC), J1L1T4, A/S DANIEL LAMBERT"
ESPACE LACHANCE INC. ,"1750 CH DU LAC, SAINTE-CATHERINE-DE-HATLEY (QC), J0B 1W0"
GERARD DESSERT LTEE ,"5765 AV DEOM, MONTREAL (QC), H3S 2N5"
LES IMMEUBLES MBAZILE INC. ,"3-6770 AV DE DARLINGTON, MONTREAL (QC), H3S 2J8"
DESCARTES IMMOBILIER INC. ,"5 RUE JOLIETTE, BLAINVILLE (QC), J7B 1L9"
BEAUCHENE FI1 INC. ,"410-455 RUE KING O, SHERBROOKE (QC), J1H6E9"
9107-4567 QUEBEC INC. ,"485 RUE MCGILL BUR 300, MONTREAL (QC), H2Y 2H4, A/S VILLA DE L'ESTRIE"
9419-5054 QUEBEC INC. ,"2605 RUE ARGENSON, SHERBROOKE (QC), J1J1P5, A/S SARAH HASHMI"
9253-0138 QUEBEC INC. ,"235 RUE DU BORD-DE-L'EAU, SAINTE-CATHERINE-DE-HATLEY (QC), J0B 1W0, A/S RENE DUFRESNE"
9344-8348 QUEBEC INC. ,"725 RUE DU GRIFFON, SHERBROOKE (QC), J1R0B2, A/S MIRNA ELMIR"
LOCATION JLR SENC ,"670 RUE MCCREA, SHERBROOKE (QC), J1L2M2"
9225-9985 QUEBEC INC. ,"2650 RUE HONORE-DE BALZAC, SHERBROOKE (QC), J1L0B2"
9253-6663 QUEBEC INC. ,"755 RUE PAUL-DESRUISSEAUX, SHERBROOKE (QC), J1J4L9"
IMMO VILLEA INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
9271-6067 QUEBEC INC. ,"2897 RUE CHARLES-BAUDELAIRE, SHERBROOKE (QC), J1L0B8"
GROUPE IMMOBILIER SIMARD INC. ,"1626 CHEMIN LALIBERTE, SHERBROOKE (QC), J1R0C5"
GESTION ASTO INC. ,"3446 RUE LA VERENDRYE, SHERBROOKE (QC), J1L1Z6, A/S ANDRÉ ST-ONGE"
OFF. MUN. HABITATION DE SHERB ,"471 RUE GALT O, SHERBROOKE (QC), J1H1Y8"
GROUPE FRANCOIS POIRIER INC ,"124 RUE WELLINGTON N, SHERBROOKE (QC), J1H5X8, A/S FRANCOIS POIRIER"
9221-9393 QUEBEC INC. ,"1338 RUE KING O, SHERBROOKE (QC), J1J2B6, A/S MICHEL DUTIL"
COOPERATIVE D'HABITATION LA RIVE GAUCHE ,"13-2525 RUE GALT O, SHERBROOKE (QC), J1K1L7"
CDI LOGEMENTS INC. ,"809 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R9"
9232-5091 QUEBEC INC. ,"120 RUE DES SOUS-BOIS, RICHMOND (QC), J0B 2H0"
SOC.COMM.EXCELLENCE FAUBOURGS ,"102-2875 RUE DU MANOIR, SHERBROOKE (QC), J1L2B7"
LAUREAT RICHARD INC. ,"103-3005 RUE RICHARD, SHERBROOKE (QC), J1L2A3"
2995891 CANADA INC. ,"181 RUE LAMPRON, MAGOG (QC), J1X 5R7, A/S FRANCE POULIOT GRAVEL"
TETRA IMMOBILIER INC. ,"556 RUE DU PARC-INDUSTRIEL, SHERBROOKE (QC), J1C0J2"
IMMOS DAN-BES INC. ,"3856 RUE IMELDA-LEFEBVRE, SHERBROOKE (QC), J1N1B2"
LES IMMEUBLES MESY ,"205 RUE SANGSTER, SHERBROOKE (QC), J1N0H5"
9072-6720 QUEBEC INC. ,"250-45 RUE DU CENTRE, MAGOG (QC), J1X 5B6, A/S PIERRE BOLDUC"
9498-4507 QUEBEC INC. ,"112 RUE SAINT-CHARLES-BORROMÉE S, JOLIETTE (QC), J6E 4S9"
PROJETEC IMMOBILIER SENC ,"481 RUE DE LIEGE, SHERBROOKE (QC), J1J2N1"
IMMEUBLE HOMANS INC. ,"470 RUE DE MONTREAL, SHERBROOKE (QC), J1H1E5"
9123-8584 QUEBEC INC. ,"200-7250 BOUL TASCHEREAU, BROSSARD (QC), J4W 1M9, A/S JOHN SIMPSON"
CONDOS MEZY INC. ,"4208 RUE SHERBROOKE, MAGOG (QC), J1X 5R2"
9255-9483 QUEBEC INC. ,"155 2E RANG, STOKE (QC), J0B 3G0, A/S FRANCOIS PEPIN"
IMMEUBLES NGMB INC. ,"4687 RUE DE CABANO, SHERBROOKE (QC), J1N2B9"
9379-9427 QUEBEC INC. ,"49 RUE DE L'ANDALOU, BLAINVILLE (QC), J7C 0N6"
LES HABITATIONS SCHEIB INC. ,"101-745 RUE MCGREGOR, SHERBROOKE (QC), J1L1P4"
9414-0779 QUEBEC INC. ,"3965 CH ORR, COOKSHIRE-EATON (QC), J0B 1M0, A/S DAVID CLEMENT"
9200-3409 QUEBEC INC. ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4, A/S JEAN-PIERRE GOUIN"
BAVARIA DEVELOPPEMENTS INC. ,"PH206-150 CH DE LA POINTE-SUD, VERDUN (QC), H3E 0A7"
9164-7735 QUEBEC INC. ,"6188 RUE DES BOISES-DU-LAC, SHERBROOKE (QC), J1N3T3"
9490-6674 QUEBEC INC. ,"9855 RUE COLBERT, ANJOU (QC), H1J 1Z9"
GESTION POINT FINAL INC. ,"20  RUE MEUNIER, EASTMAN (QC), J0E 1P0"
9228-6749 QUEBEC INC. ,"1338 RUE KING O, SHERBROOKE (QC), J1J2B6"
MESOAN IMMOBILIER INC. ,"112 CH MORIN, ORFORD (QC), J1X 6N6"
9435-6029 QUEBEC INC. ,"1505 RUE PINARD, SHERBROOKE (QC), J1J3C9, A/S SAMUEL ROUSSEAU"
9221-1580 QUEBEC INC. ,"310 RUE MURRAY, SAINTE-CATHERINE-DE-HATLEY (QC), J0B 1W0, A/S STEPHANE D'ANJOU"
MATOM IMMOBILIER INC. ,"3786 RUE EMILE-CHARTIER, SHERBROOKE (QC), J1L0H7"
PROJET A PLATEAU MCCREA S.E.C. ,"104-4710 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N2A8, A/S GUILLAUME FONTAINE"
CONDO LE VIVO SHERBROOKE INC. ,"104-4710 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N2A8"
IMMO24 INC. ,"3029 RUE COLLEGE, SHERBROOKE (QC), J1M1V2"
COOP. DU VIEUX MOULIN DE BROMPTON ,"101-216 RUE LAVAL, SHERBROOKE (QC), J1C0R1, A/S DENIS HAMEL"
9537-5093 QUEBEC INC. ,"170 CH GIRARD, DANVILLE (QC), J0A 1A0, A/S YANNICK GRANDMONT"
9373-4911 QUEBEC INC. ,"990 AVENUE DU PARC, SHERBROOKE (QC), J1N3P1, A/S MICHEL GUILLEMETTE"
9355-1364 QUEBEC INC. ,"3052 RUE BOYER, SHERBROOKE (QC), J1N2Y2"
IMMEUBLES FORTISSIMMO INC. ,"128 CH TALBOT, STOKE (QC), J0B 3G0, A/S JEAN-FRANCOIS LAPOINTE"
9377-3612 QUEBEC INC. ,"241 CHEMIN DE NOTRE-DAME-DES-MERES, SHERBROOKE (QC), J1C0A8"
9202-4967 QUEBEC INC. ,"4239 RUE DU VERGER, ASCOT CORNER (QC), A/S MICHEL GUILLEMETTE"
9265-0175 QUEBEC INC. ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4, A/S JEAN-PIERRE GOUIN"
CAPITAL MITB INC. ,"135-925 BOUL DE MAISONNEUVE O, MONTREAL (QC), H3A 0A5"
BMP CONSORTIUM INC. ,"135-926 BOUL DE MAISONNEUVE O, MONTREAL (QC), H3A 0A5"
AW CAPITAL INC. ,"911-9000 BOUL LEDUC, BROSSARD (QC), J4Y 0E6"
